Feedback,Provided by,Date
Textual content in the home page and throughout the site needs yto be checked for correctness. ,PMC,July
The app should have information buttons for content where it is not clear to the user on what the variable means. Some examples of these are the climate change scenario and the conservation status of species.,PMC,July
Users should be given more context about what national and regional conservaton status means,PMC,July
There is a concern that future predictions might not be ok to share to general public.There might be a need to show only the current distribution to general public and show the future scenario to only users with access.,PMC,July
Users should only be allowed to put markers in the map for submission after certain zoom level.,PMC,July
More thought needs to be given to aspects of user engagement and motivation. Why would they want to continue contributig to Jaibik Map?,PMC,July
Images used across the application should also contain attribution.,PMC,July
Questions asked to the user in the submit observation view must be revisited in order to separate the compulsory questions from optional ones,PMC,July
Is it possible to give the user better locational context through the use of district/province borders?,PMC,May
Banner images in the home page and elsewhere should be more representative of Jaibik Map (currently it looks like a website dedicated to tiger conservation),PMC,May
